year,catch,code,region
1950,11787.5,NA,WIO
1951,12992.5,NA,WIO
1952,12308.5,NA,WIO
1953,13081.5,NA,WIO
1954,11332.5,NA,WIO
1955,12851,NA,WIO
1956,15318,NA,WIO
1957,17509,NA,WIO
1958,19714,NA,WIO
1959,15500,NA,WIO
1960,16380.5,NA,WIO
1961,18148.5,NA,WIO
1962,20236,NA,WIO
1963,18414.5,NA,WIO
1964,23827.5,NA,WIO
1965,26727.5,NA,WIO
1966,31795,NA,WIO
1967,35494,NA,WIO
1968,30174.5,NA,WIO
1969,30196,NA,WIO
1970,17623,NA,WIO
1971,16541,NA,WIO
1972,26055.5,NA,WIO
1973,43473,NA,WIO
1974,40261.5,NA,WIO
1975,25979.5,NA,WIO
1976,33393.5,NA,WIO
1977,35252,NA,WIO
1978,31855,NA,WIO
1979,41548.5,NA,WIO
1980,31437.5,NA,WIO
1981,31351.5,NA,WIO
1982,37365.5,NA,WIO
1983,37766,NA,WIO
1984,32374,NA,WIO
1985,37059,NA,WIO
1986,37299,NA,WIO
1987,32226,NA,WIO
1988,46879.5,NA,WIO
1989,40548.5,NA,WIO
1990,38527.5,NA,WIO
1991,55920,NA,WIO
1992,64364,NA,WIO
1993,54621.5,NA,WIO
1994,58927,NA,WIO
1995,57423,NA,WIO
1996,61106.5,NA,WIO
1997,62403,NA,WIO
1998,47814.5,NA,WIO
1999,53365.5,NA,WIO
2000,49804,NA,WIO
2001,48423.5,NA,WIO
2002,56473,NA,WIO
2003,44392,NA,WIO
2004,41360.5,NA,WIO
2005,60944.5,NA,WIO
2006,62546,NA,WIO
2007,80670,NA,WIO
2008,83215,NA,WIO
2009,65173,NA,WIO
2010,45627.5,NA,WIO
2011,49827,NA,WIO
2012,47734.5,NA,WIO
2013,43111.5,NA,WIO
2014,37391,NA,WIO
2015,39526,NA,WIO
