species,DRY,WET
Metapenaeus monodon,4.5,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,1,2
Metapenaeus monodon,4.5,2
Metapenaeus monodon,4.5,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,6,2
Metapenaeus monodon,1,2
Metapenaeus monodon,4.5,2
Metapenaeus monodon,4.5,2
Metapenaeus monodon,8,0.02
Metapenaeus monodon,8,2
Metapenaeus monodon,6,2
Metapenaeus monodon,6,2
Metapenaeus monodon,4.5,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,4.5,2
Metapenaeus monodon,6,2
Metapenaeus monodon,8,2
Metapenaeus monodon,8,2
Metapenaeus monodon,4.5,2
